,dep,lemma,tag
0,['  head_token_index: 2'],"['lemma: ""Autoridad""']",['  tag: NOUN']
1,[],"['lemma: ""venezolano""']",['  tag: ADJ']
2,['  head_token_index: 2'],"['lemma: ""admitir""']",['  tag: VERB']
3,['  head_token_index: 2'],"['lemma: ""paso""']",['  tag: NOUN']
4,['  head_token_index: 3'],"['lemma: ""de""']",['  tag: ADP']
5,['  head_token_index: 4'],"['lemma: ""estudiante""']",['  tag: NOUN']
6,['  head_token_index: 5'],"['lemma: ""y""']",['  tag: CONJ']
7,['  head_token_index: 5'],"['lemma: ""enfermo""']",['  tag: NOUN']
8,['  head_token_index: 2'],"['lemma: ""...""']",['  tag: PUNCT']
9,['  head_token_index: 1'],"['lemma: ""20""']",['  tag: NUM']
10,['  head_token_index: 1'],"['lemma: ""año""']",['  tag: NOUN']
11,['  head_token_index: 1'],"['lemma: ""de""']",['  tag: ADP']
12,['  head_token_index: 2'],"['lemma: ""cárcel""']",['  tag: NOUN']
13,['  head_token_index: 1'],"['lemma: ""para""']",['  tag: ADP']
14,['  head_token_index: 6'],"['lemma: ""dos""']",['  tag: NUM']
15,['  head_token_index: 4'],"['lemma: ""venezolano""']",['  tag: NOUN']
16,['  head_token_index: 8'],"['lemma: ""que""']",['  tag: PRON']
17,['  head_token_index: 6'],"['lemma: ""asesinar""']",['  tag: VERB']
18,['  head_token_index: 8'],"['lemma: ""a""']",['  tag: ADP']
19,['  head_token_index: 9'],"['lemma: ""reciclador""']",['  tag: NOUN']
20,['  head_token_index: 2'],"['lemma: ""El""']",['  tag: DET']
21,['  head_token_index: 2'],"['lemma: ""\\\'""']",['  tag: PUNCT']
22,['  head_token_index: 2'],"['lemma: ""mami""']",['  tag: NOUN']
23,['  head_token_index: 2'],"['lemma: ""\\\'""']",['  tag: PUNCT']
24,['  head_token_index: 2'],"['lemma: ""de""']",['  tag: ADP']
25,['  head_token_index: 6'],"['lemma: ""El""']",['  tag: DET']
26,['  head_token_index: 4'],"['lemma: ""Parada""']",['  tag: NOUN']
27,['  head_token_index: 9'],"['lemma: "",""']",['  tag: PUNCT']
28,['  head_token_index: 9'],"['lemma: ""un""']",['  tag: DET']
29,['  head_token_index: 2'],"['lemma: ""luz""']",['  tag: NOUN']
30,['  head_token_index: 9'],"['lemma: ""para""']",['  tag: ADP']
31,['  head_token_index: 12'],"['lemma: ""el""']",['  tag: DET']
32,['  head_token_index: 10'],"['lemma: ""migrante""']",['  tag: NOUN']
33,['  head_token_index: 14'],"['lemma: ""(""']",['  tag: PUNCT']
34,['  head_token_index: 12'],"['lemma: ""Venezolano""']",['  tag: ADJ']
35,['  head_token_index: 14'],"['lemma: ""en""']",['  tag: ADP']
36,['  head_token_index: 2'],"['lemma: ""...""']",['  tag: PUNCT']
37,['  head_token_index: 1'],"['lemma: ""Cuatro""']",['  tag: NUM']
38,['  head_token_index: 1'],"['lemma: ""detener""']",['  tag: VERB']
39,['  head_token_index: 1'],"['lemma: ""en""']",['  tag: ADP']
40,['  head_token_index: 2'],"['lemma: ""España""']",['  tag: NOUN']
41,['  head_token_index: 1'],"['lemma: ""por""']",['  tag: ADP']
42,['  head_token_index: 4'],"['lemma: ""explotar""']",['  tag: VERB']
43,['  head_token_index: 5'],"['lemma: ""sexualmente""']",['  tag: ADV']
44,['  head_token_index: 5'],"['lemma: ""a""']",['  tag: ADP']
45,['  head_token_index: 7'],"['lemma: ""mujer""']",['  tag: NOUN']
46,['  head_token_index: 1'],"['lemma: ""...""']",['  tag: PUNCT']
47,['  head_token_index: 7'],"['lemma: ""Por""']",['  tag: ADP']
48,['  head_token_index: 2'],"['lemma: ""falso""']",['  tag: ADJ']
49,[],"['lemma: ""promesa""']",['  tag: NOUN']
50,['  head_token_index: 2'],"['lemma: ""de""']",['  tag: ADP']
51,['  head_token_index: 3'],"['lemma: ""trabajo""']",['  tag: NOUN']
52,['  head_token_index: 6'],"['lemma: "",""']",['  tag: PUNCT']
53,['  head_token_index: 2'],"['lemma: ""venezolano""']",['  tag: ADJ']
54,['  head_token_index: 7'],"['lemma: ""terminar""']",['  tag: VERB']
55,['  head_token_index: 7'],"['lemma: ""...""']",['  tag: PUNCT']
56,['  head_token_index: 1'],"['lemma: ""Cuatro""']",['  tag: NUM']
57,['  head_token_index: 1'],"['lemma: ""detener""']",['  tag: VERB']
58,['  head_token_index: 1'],"['lemma: ""en""']",['  tag: ADP']
59,['  head_token_index: 2'],"['lemma: ""España""']",['  tag: NOUN']
