No,Contents
2,"QT @mipaisyelmundo: A esto salen los venezolanos? a mostrar su miseria intelectual y su salvajismo como carta de presentación? No joda, no se que es peor, si exportar malandros por necesidad o que se queden a vivir de las limosnas del madurismo. Ecuador y Perú deben aprender a controlar las ratas. ; #Ibarra Una jove de 22 años falleció al recibir varias puñaladas de su novio #Venezolano, la mujer que tenía 4 meses de gestación. https://t.co/ZsnQ0a5euR"
4,"Oiga ! en Colombia se volvió moda que todos tienes derechos menos los que pagamos impuestos!! Todos los ladrones y los políticos y los venezolanos y unos más víctimas que otros, pero todos a la final víctimas del pedazo horrible de país que es una realidad: de malas! A joderse!"
7,@soyfdelrincon Por qué piden certificado antecedentes penales a venezolanos en Ecuador? Presumen nuestra delincuencia? No hay delincuentes de otras nacionalidades? No hay ecuatorianos delincuentes? Los feminicidios sólo los han cometido venezolanos? #concluxenofobia
8,"QT @CesarRey1: RT @Gamisox: Soy Venezolano y pido, exijo aparezca este hijo de puta, maldito animal y pagué con cárcel el delito que cometió. No lo dejen… ; El es Jonathan Pernía, venezolano al que se le dio trabajo, se le brindó comida y techo y luego en una noche, aprovechándose de la bondad de una familia bumanguesa, les robó mas de 20 millones de pesos. Ayúdanos a encontrar a este hampón @DanielSamperO @TatanFue @SoyFranciscoRey https://t.co/MqDF4po66y"
15,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
27,"RT @liuvi44: Deberían ya, darle la nacionalidad venezolana a todos los uribistas; ""cónchale vale""... Total, ellos ""sufren"" más por Venezuela, que por tanta injusticia, violencia, corrupción problemas en salud, educación, impuestos elevados, inseguridad y muerte en Colombia."
32,"RT @CARLOSFMEJIA: Mientras el Grupo de Lima lucha para ayudar a #Venezuela a librarse de la tiranía y a recuperar su democracia, @lopezobrador_ al mejor estilo petrista, se niega a aceptar que los venezolanos estan sufriendo en las manos criminales de un dictador. Qué fácil se hacen los locos. https://t.co/dJI8j2CHnC"
33,"QT @CesarRey1: RT @Gamisox: Soy Venezolano y pido, exijo aparezca este hijo de puta, maldito animal y pagué con cárcel el delito que cometió. No lo dejen… ; El es Jonathan Pernía, venezolano al que se le dio trabajo, se le brindó comida y techo y luego en una noche, aprovechándose de la bondad de una familia bumanguesa, les robó mas de 20 millones de pesos. Ayúdanos a encontrar a este hampón @DanielSamperO @TatanFue @SoyFranciscoRey https://t.co/MqDF4po66y"
37,"RT @SurielOpina: 10 venezolanos atacan de la manera más brutal a un adulto mayor, ya que éste señor les pidió a los extranjeros que, por favor, bajen el volumen de su música: estos hicieron caso omiso y en vez de llevar la fiesta en paz, pues adoptaron comportamientos francamente CRIMINALES https://t.co/nXUyweWlXD"
45,"QT @PinzonBueno: RT @Nostradamus_Col: Las denuncias del exministro @PinzonBueno me suenan igual que las denuncias de la exfiscal venezolana @lortegadiaz. Ay… ; La estupidez de haber parado la lucha contra el narcotráfico. Resultado: más coca, más violencia, más grupos criminales fortalecidos, y más farc (retaguardia y disidencias) en los próximos años. Se advirtió y se enfrentó. Perdió el país. https://t.co/FZgyIXrMER"
