,dep,lemma,tag
0,[],"['lemma: ""QT""']",['  tag: NOUN']
1,['  head_token_index: 2'],"['lemma: ""@""']",['  tag: PUNCT']
2,[],"['lemma: ""mipaisyelmundo""']",['  tag: VERB']
3,['  head_token_index: 2'],"['lemma: "":""']",['  tag: PUNCT']
4,['  head_token_index: 6'],"['lemma: ""A""']",['  tag: ADP']
5,['  head_token_index: 4'],"['lemma: ""esto""']",['  tag: DET']
6,['  head_token_index: 2'],"['lemma: ""salar""']",['  tag: VERB']
7,['  head_token_index: 8'],"['lemma: ""el""']",['  tag: DET']
8,['  head_token_index: 6'],"['lemma: ""venezolano""']",['  tag: NOUN']
9,[],"['lemma: ""?""']",['  tag: PUNCT']
10,['  head_token_index: 10'],"['lemma: ""a""']",['  tag: ADP']
11,['  head_token_index: 10'],"['lemma: ""mostrar""']",['  tag: VERB']
12,['  head_token_index: 13'],"['lemma: ""él""']",['  tag: PRON']
13,['  head_token_index: 11'],"['lemma: ""miseria""']",['  tag: NOUN']
14,['  head_token_index: 13'],"['lemma: ""intelectual""']",['  tag: ADJ']
15,['  head_token_index: 13'],"['lemma: ""y""']",['  tag: CONJ']
16,['  head_token_index: 17'],"['lemma: ""él""']",['  tag: PRON']
17,['  head_token_index: 13'],"['lemma: ""salvajismo""']",['  tag: NOUN']
18,['  head_token_index: 17'],"['lemma: ""como""']",['  tag: ADP']
19,['  head_token_index: 18'],"['lemma: ""carta""']",['  tag: NOUN']
20,['  head_token_index: 19'],"['lemma: ""de""']",['  tag: ADP']
21,['  head_token_index: 20'],"['lemma: ""presentación""']",['  tag: NOUN']
22,['  head_token_index: 10'],"['lemma: ""?""']",['  tag: PUNCT']
23,['  head_token_index: 29'],"['lemma: ""No""']",['  tag: ADV']
24,['  head_token_index: 23'],"['lemma: ""joda""']",['  tag: NOUN']
25,['  head_token_index: 23'],"['lemma: "",""']",['  tag: PUNCT']
26,['  head_token_index: 29'],"['lemma: ""no""']",['  tag: ADV']
27,['  head_token_index: 29'],"['lemma: ""se""']",['  tag: PRON']
28,['  head_token_index: 29'],"['lemma: ""que""']",['  tag: PRON']
29,['  head_token_index: 29'],"['lemma: ""ser""']",['  tag: VERB']
30,['  head_token_index: 29'],"['lemma: ""peor""']",['  tag: ADJ']
31,['  head_token_index: 33'],"['lemma: "",""']",['  tag: PUNCT']
32,['  head_token_index: 33'],"['lemma: ""si""']",['  tag: ADP']
33,['  head_token_index: 29'],"['lemma: ""exportar""']",['  tag: VERB']
34,['  head_token_index: 33'],"['lemma: ""malandro""']",['  tag: NOUN']
35,['  head_token_index: 34'],"['lemma: ""por""']",['  tag: ADP']
36,['  head_token_index: 35'],"['lemma: ""necesidad""']",['  tag: NOUN']
37,['  head_token_index: 33'],"['lemma: ""o""']",['  tag: CONJ']
38,['  head_token_index: 40'],"['lemma: ""que""']",['  tag: PRON']
39,['  head_token_index: 40'],"['lemma: ""se""']",['  tag: PRON']
40,['  head_token_index: 33'],"['lemma: ""quedar""']",['  tag: VERB']
41,['  head_token_index: 40'],"['lemma: ""a""']",['  tag: ADP']
42,['  head_token_index: 41'],"['lemma: ""vivir""']",['  tag: VERB']
43,['  head_token_index: 42'],"['lemma: ""de""']",['  tag: ADP']
44,['  head_token_index: 45'],"['lemma: ""el""']",['  tag: DET']
45,['  head_token_index: 43'],"['lemma: ""limosna""']",['  tag: NOUN']
46,['  head_token_index: 45'],"['lemma: ""de""']",['  tag: ADP']
